Episode,A2C Reward
0,0.5603963
1,-0.2632022
2,1.3543594
3,0.13389194
4,0.5816736
5,-0.100268304
6,-0.18908072
7,0.22563326
8,1.8670437
9,0.02005428
10,0.809417
11,-0.5
12,0.4976412
13,-0.034109145
14,0.1154443
15,0.34573746
16,0.41578645
17,0.18869114
18,0.12422454
19,-0.5
20,0.4590876
21,-0.152668
22,0.13811004
23,0.8757503
24,0.45607096
25,-0.055738807
26,1.6914554
27,1.0090668
28,0.7143649
29,-0.2835946
30,-0.5
31,1.4069824
32,0.7612883
33,-0.17356777
34,1.4489121
35,1.628012
36,-0.01961261
37,-0.10574007
38,0.43066412
39,0.0669719
40,0.26041865
41,0.63259137
42,0.062278032
43,-0.17044872
44,0.05558878
45,-0.23283783
46,-0.5
47,0.848181
48,-0.5
49,0.0076076984
50,-0.0070489347
51,-0.064070284
52,-0.33351597
53,0.10583651
54,0.16385007
55,0.37264556
56,0.5719212
57,0.71421623
58,0.5273783
59,0.43154633
60,-0.5
61,-0.22395268
62,-0.20730081
63,0.02877748
64,0.09994227
65,0.046121478
66,-0.092687845
67,0.021244168
68,-0.1005241
69,-0.5
70,-0.26071134
71,0.77641225
72,-0.20826942
73,-0.5
74,0.13256663
75,-0.025091827
76,0.14443523
77,0.82770157
78,0.9717188
79,0.12390691
80,-0.5
81,-0.2349034
82,1.309525
83,0.3200547
84,-0.40232378
85,0.32133526
86,-0.5
87,-0.1088976
88,0.121245384
89,0.33102763
90,0.7470747
91,0.49831253
92,0.21959096
93,0.4600228
94,-0.2420105
95,-0.22675586
96,0.01935625
97,0.5136547
98,0.27421254
99,0.203426
100,-0.5
101,-0.0011326373
102,-0.21343291
103,0.25645137
104,-0.5
105,0.79555297
106,-0.010147423
107,-0.18603802
108,0.43677944
109,0.11822736
110,-0.5
111,0.12515998
112,0.026835024
113,0.21688306
114,-0.5
115,1.2129599
116,1.133994
117,-0.27162132
118,-0.5
119,-0.5
120,-0.5
121,-0.05411005
122,-0.5
123,0.1321469
124,1.0645593
125,-0.5
126,-0.16456968
127,0.12657201
128,-0.5
129,-0.5
130,0.18482703
131,0.13326615
132,0.020956993
133,0.58936894
134,0.0037316084
135,-0.5
136,-0.15438452
137,0.29094136
138,0.0764848
139,0.553691
140,0.9350953
141,-0.17807913
142,0.032877445
143,0.52394414
144,0.55949986
145,0.12765515
146,0.0033342242
147,-0.2237184
148,1.9377887
149,0.40720403
150,-0.008340538
151,0.031785965
152,-0.22687411
153,0.38333976
154,-0.03279528
155,0.5532026
156,-0.31744558
157,-0.05213827
158,0.48290122
159,-0.037672818
