Episode,A2C Reward
0,1.8085473
1,-0.5
2,0.9036443
3,0.36153823
4,0.27811313
5,0.22573537
6,0.10297853
7,0.17946261
8,0.50480795
9,1.0036764
10,0.6076181
11,-0.5
12,0.8202152
13,1.2218674
14,-0.0020766854
15,-0.2662344
16,-0.08800095
17,-0.08710918
18,0.6321281
19,-0.5
20,-0.03569007
21,-0.19426042
22,-0.075431645
23,-0.5
24,0.89338243
25,-0.14336365
26,0.84836566
27,-0.5
28,0.18289977
29,-0.26682216
30,-0.2760439
31,0.4096697
32,1.4305762
33,0.010396421
34,-0.40799657
35,-0.03961429
36,0.0034404993
37,0.5651097
38,0.6455128
39,-0.26703423
40,-0.06504789
41,0.092919946
42,0.81442976
43,0.16357344
44,-0.5
45,0.0400545
46,-0.16523457
47,0.47257483
48,0.47177035
49,0.6084411
50,0.1454941
51,0.30400705
52,-0.20973787
53,0.39515823
54,2.3289826
55,0.24313235
56,-0.5
57,0.166125
58,0.054008007
59,1.5423026
60,-0.5
61,-0.5
62,-0.22832274
63,-0.5
64,1.3554899
65,-0.19515961
66,-0.5
67,-0.051594615
68,-0.5
69,-0.5
70,-0.18511352
71,0.1477505
72,0.3082766
73,-0.18449774
74,1.8491577
75,-0.009458333
76,0.45753706
77,0.40770727
78,0.09328145
79,-0.5
80,0.33728564
81,-0.27972025
82,1.9065127
83,0.3295759
84,-0.19938144
85,-0.18018922
86,0.4936937
87,-0.08941531
88,-0.15968695
89,-0.5
90,0.55842614
91,0.53583837
92,1.548907
93,-0.2679104
94,-0.1252676
95,0.6910087
96,0.07972908
97,0.7346237
98,0.43428683
99,0.44629228
100,-0.18675584
101,-0.5
102,0.7231544
103,0.620463
104,2.6526875
105,0.023846507
106,0.6706517
107,1.1597373
108,-0.18939313
109,-0.2192556
110,1.3745065
111,0.96994233
112,2.2035482
113,2.236454
114,-0.00790453
115,0.26176727
116,-0.24691004
117,1.0419352
118,-0.28553447
119,0.36999905
120,0.11650872
121,-0.0706476
122,-0.0463382
123,-0.16311806
124,-0.20246711
125,0.45053512
126,1.0941107
127,0.38376647
128,0.75130343
129,-0.5
130,-0.5
131,-0.27115503
132,0.4610594
133,0.47109866
134,-0.01672715
135,-0.007491827
136,-0.5
137,0.2626683
138,0.10504341
139,-0.23255387
140,-0.22546953
141,0.33369464
142,0.8758768
143,-0.1906561
144,0.24042338
145,0.09557283
146,-0.5
147,0.77169394
148,1.3024323
149,-0.23940152
150,0.019290924
151,-0.5
152,-0.5
153,-0.17890483
154,-0.1401025
155,-0.20379591
156,1.5167615
157,-0.34497672
158,1.6115277
159,-0.15675965
160,-0.5
161,-0.5
162,0.7044411
163,-0.22549018
164,-0.5
165,0.76873505
166,-0.090746045
167,-0.5
168,-0.19048929
169,-0.29714012
170,-0.2378737
171,-0.5
172,0.04657173
173,1.7629571
174,0.23001432
175,-0.0057427287
176,-0.00054323673
177,1.2997773
178,0.39472055
179,0.81537807
180,-0.24645042
181,-0.19807816
182,1.3831812
183,0.03602618
184,0.4192695
185,0.031096518
186,0.1829493
187,0.18370688
188,-0.5
189,0.07035512
190,-0.4296132
191,0.4761927
192,0.65913403
193,0.23064625
194,1.1041636
195,-0.5
196,1.4512095
197,1.1357479
198,-0.057978988
199,0.80588007
200,-0.2399314
201,0.17604738
202,0.24607462
203,0.1854316
204,0.8118231
205,0.6573663
206,0.02590537
207,2.2986972
208,1.5441277
209,-0.27617654
210,0.041702867
211,0.37116128
212,0.35349935
213,0.15773886
214,-0.17457217
215,-0.012629837
216,0.58760965
217,-0.079766214
218,-0.18344346
219,0.32613683
220,1.3173089
221,-0.24168357
222,-0.15412816
223,0.28036612
224,1.0156379
225,0.6729833
226,0.2882135
227,0.109300256
228,0.54229915
229,-0.2725892
230,1.1894612
231,0.3563137
232,-0.38238496
233,0.16074646
234,0.01033479
235,0.04542321
236,-0.067707
237,0.09215027
238,-0.2475864
239,-0.5
240,0.9604366
241,1.6911786
242,0.022375524
243,-0.20953551
244,-0.16979685
245,-0.17590111
246,0.37669706
247,-0.15349674
248,1.8388624
249,0.30680454
250,0.7784704
251,0.54665816
252,0.3568827
253,0.47886336
254,1.047087
255,1.2356157
256,-0.104764074
257,-0.17673674
258,-0.18703595
259,-0.19838533
260,2.2143075
261,0.32381588
262,0.06896007
263,0.310274
264,0.016958952
265,1.4040117
266,0.022970557
267,-0.1521453
268,-0.5
269,-0.5
270,0.19281131
271,-0.38917065
272,0.5237508
273,0.81638634
274,0.60273516
275,0.0510453
276,2.143464
277,-0.5
278,-0.5
279,-0.3978421
280,0.35102087
281,0.09748614
282,1.9271524
283,0.43770742
284,-0.21327937
285,-0.21817428
286,-0.5
287,0.921052
288,0.8388884
289,-0.1921381
290,2.8953402
291,1.0333339
292,0.9392313
293,1.1985078
294,-0.5
295,-0.31299615
296,0.9986762
297,0.26384073
298,1.9352314
299,0.06395137
300,-0.11779109
301,-0.07088223
302,-0.5
303,1.5232928
304,0.8494228
305,-0.10513854
306,3.1322813
307,1.1516702
308,1.8128085
309,1.1161437
310,-0.2174758
311,1.2895701
312,-0.5
313,-0.19842014
314,0.31818497
315,0.42738855
316,1.2194608
317,-0.5
318,-0.5
319,-0.21792403
320,-0.3016635
321,0.11004186
322,-0.30554143
323,0.6319618
324,0.066476226
325,-0.19144106
326,1.1120126
327,1.7079463
328,0.5282043
329,0.08432418
330,0.5480565
331,1.4345747
332,-0.27037686
333,2.4772615
334,0.50808656
335,-0.018529236
336,-0.24799472
337,0.31552982
338,0.006882429
339,0.40673316
340,0.26529926
341,1.2216219
342,1.0444083
343,0.30125642
344,2.5110247
345,-0.009180874
346,0.07106322
347,-0.33954987
348,-0.168336
349,0.5755117
350,-0.14103994
351,0.99544704
352,0.37781036
353,-0.5
354,0.4832297
355,-0.5
356,2.1584609
357,0.15886337
358,0.36595613
359,0.49804902
360,0.69131124
361,-0.18609351
362,2.8563535
363,-0.18157348
364,0.024604201
365,1.1843235
366,1.4049096
367,1.0509071
368,1.0603923
369,0.39567292
370,1.1119246
371,-0.5
372,0.5885565
373,1.5546243
374,0.5914867
375,3.4916632
376,-0.5
377,0.4868695
378,0.0636158
379,0.032719493
380,0.60989
381,-0.16999322
382,0.6595535
383,-0.14768067
384,0.23614132
385,0.18874323
386,0.7394216
387,-0.5
388,1.1386114
389,0.13255858
390,1.207413
391,0.84140456
392,0.19606334
393,0.9660237
394,0.6136801
395,1.3902408
396,0.2781343
397,0.56709754
398,-0.17627245
399,0.305731
400,0.021364927
401,0.38878703
402,-0.08085352
403,1.1122587
404,0.08573514
405,0.109017015
406,-0.15307218
407,-0.19258499
408,0.32952535
409,1.016849
410,0.7235359
411,0.40365624
412,1.7182422
413,-0.5
414,0.038538575
415,-0.13467789
416,0.870489
417,0.20969784
418,-0.24260226
419,0.15072304
420,1.3042978
421,-0.16987497
422,0.9204408
423,0.7563765
424,0.19509828
425,0.8778844
426,1.133374
427,0.33662045
428,1.2267356
429,0.27482557
430,0.14149368
431,-0.5
432,1.3064299
433,0.4351207
434,1.2437055
435,3.518455
436,2.5922441
437,-0.5
438,0.48601717
439,1.2835225
440,1.4869177
441,-0.33205086
442,1.8558989
443,0.87434447
444,1.1588793
445,0.07044202
446,2.1052434
447,0.06224394
448,0.060243487
449,2.607113
450,2.018013
451,0.40626717
452,2.2646708
453,3.618927
454,0.16942388
455,0.81193864
456,1.2512197
457,0.10508406
458,1.7829492
459,1.6531057
460,1.0420065
461,1.0010141
462,0.37631863
463,-0.5
464,0.6997142
465,1.6448727
466,0.5217149
467,0.39657354
468,1.4572239
469,0.5968021
470,0.32918394
471,0.66778445
472,0.43467265
473,1.654975
474,0.9128351
475,0.6242056
476,-0.11177501
477,0.21261913
478,0.3887536
479,1.1842303
480,0.29379594
481,0.40029567
482,2.8832128
483,0.43118012
484,0.8156742
485,1.4897587
486,-0.15335354
487,0.71752703
488,0.54769206
489,0.20829654
490,0.54006493
491,1.6205677
492,0.07219648
493,-0.08601886
494,0.7275512
495,1.4689243
496,0.96131706
497,1.142956
498,0.62056637
499,0.07984483
500,-0.5
501,0.84429145
502,1.3540174
503,2.497622
504,0.92040706
505,0.5683876
506,1.0247073
507,0.5882417
508,-0.5
509,0.6888279
510,0.8376628
511,2.915368
512,0.0562737
513,0.29741096
514,0.21826941
515,0.4330275
516,1.2248417
517,-0.28703266
518,0.6582248
519,0.6240066
520,-0.1693019
521,0.17904031
522,-0.04840231
523,0.1752528
524,0.28269517
525,-0.19815215
526,-0.17978439
527,1.525042
528,-0.5
529,0.3548228
530,-0.21259183
531,1.4477918
532,1.6037526
533,1.6197834
534,0.8761318
535,1.8546827
536,0.15609217
537,0.45107615
538,0.091224074
539,0.35757798
540,1.514498
541,-0.5
542,0.8397441
543,-0.18858871
544,0.98898995
545,1.5535092
546,-0.18208513
547,0.12880874
548,1.2566417
549,-0.5
550,7.951254
551,2.1557844
552,5.1211085
553,0.9331138
554,3.03053
555,1.3897139
556,0.02238673
557,1.7403896
558,0.8335005
559,4.6372256
560,1.091844
561,-0.5
562,1.5014579
563,4.1174026
564,0.001896143
565,1.9654424
566,-0.074246585
567,-0.21415919
568,0.57847524
569,0.6207204
570,0.35761178
571,0.5543822
572,0.13406587
573,-0.012080908
574,0.3772822
575,-0.2400237
576,-0.17880946
577,1.9980149
578,0.19535738
579,-0.14894056
580,3.4968479
581,2.8206677
582,3.942367
583,5.4790516
584,1.0914526
585,0.44676465
586,0.784446
587,1.2589657
588,2.258809
589,3.2015948
590,0.15347928
591,3.70089
592,0.7751795
593,0.33845842
594,5.1739078
595,-0.32641214
596,2.784904
597,1.0845383
598,0.021200895
599,1.8295791
600,2.0604618
601,0.09272826
602,-0.18484744
603,1.5822985
604,4.472806
605,0.45671856
606,3.2143345
607,0.1514861
608,1.8316901
609,-0.24440303
610,0.7194128
611,-0.09468913
612,2.54613
613,-0.05687177
614,7.0374207
615,0.7567953
616,5.105778
617,2.9428189
618,2.1632254
619,7.7957706
620,1.4993725
621,0.050879
622,-0.19380826
623,1.2005541
624,0.37238157
625,2.1811948
626,1.4208386
627,0.15682018
628,0.79086995
629,0.5796939
630,6.300096
631,0.9367554
632,3.9769588
633,5.2082815
634,11.484316
635,0.3095361
636,2.9558423
637,0.7076367
638,11.63838
639,8.408161
640,1.6176329
641,7.2847733
642,4.861073
643,4.3482246
644,2.0428245
645,4.5130677
646,4.2402387
647,1.4731846
648,5.8548803
649,0.42478734
650,4.1230516
651,2.7730854
652,-0.03176257
653,1.8767116
654,0.13295239
655,4.5543385
656,0.1555664
657,1.3981314
658,1.5994091
659,12.228472
660,3.4776409
661,7.618469
662,3.22545
663,9.322866
664,1.2131422
665,5.7847347
666,6.3111897
667,8.424409
668,3.5670538
669,5.0228863
670,2.348844
671,7.9350805
672,9.339535
673,0.17603159
674,5.293605
675,8.5650015
676,4.5859137
677,4.0503054
678,0.05893153
679,4.803152
680,4.4785643
681,0.37259912
682,13.388002
683,2.2463923
684,12.22351
685,9.09593
686,0.9992509
687,1.9229963
688,16.56816
689,13.2224655
690,5.942821
691,18.839615
692,36.395676
693,-0.5
694,8.8039055
695,17.41642
696,7.911195
697,0.8905479
698,8.602772
699,14.985561
700,10.312466
701,49.1182
702,12.807327
703,0.39626873
704,12.344041
705,28.704945
706,16.655846
707,30.25951
708,111.253815
709,44.427067
710,81.41876
711,59.10354
712,132.38397
713,85.06427
714,0.033485293
715,180.54813
716,47.10402
717,99.751114
718,135.30316
719,162.27568
720,42.523685
721,266.69675
722,83.2845
723,185.07617
724,143.0333
725,34.84333
726,134.48497
727,256.61206
728,183.96596
729,129.74414
730,177.4657
731,336.5002
732,168.30028
733,133.33682
734,107.952965
735,152.92029
736,156.02951
737,146.49886
738,352.99542
739,244.3945
740,285.7349
741,240.75182
742,270.80005
743,83.63123
744,350.74274
745,285.27432
746,336.82446
747,230.86769
748,1.0970397
749,113.29761
750,140.25633
751,9.167182
752,53.90438
753,141.69029
754,244.52696
755,29.349285
756,49.119682
757,145.90625
758,144.14096
759,197.476
760,118.36185
761,183.7575
762,147.41443
763,184.65579
764,49.428467
765,248.69522
766,131.77388
767,187.10524
768,143.47711
769,122.88457
770,196.14453
771,152.85802
772,147.7525
773,256.20093
774,156.80978
775,287.262
776,151.28098
777,51.602573
778,150.60687
779,121.52637
780,247.88354
781,195.5412
782,199.29642
783,181.64807
784,252.86447
785,282.33282
786,127.27437
787,377.19812
788,817.32336
789,187.57666
790,151.20851
791,240.92317
792,144.72234
793,275.58905
794,146.95905
795,84.97174
796,227.51886
797,81.63758
798,240.53346
799,274.38513
800,288.77222
801,0.07361436
802,257.41608
803,246.75337
804,140.44704
805,273.01642
806,244.0469
807,148.57251
808,163.7027
809,189.85406
810,148.59645
811,273.914
812,234.92023
813,141.03133
814,235.84735
815,186.03006
816,80.32236
817,242.55963
818,236.85422
819,189.36174
820,239.09396
821,243.4834
822,146.48804
823,283.07156
824,131.64476
825,0.04937017
826,239.31995
827,179.03595
828,154.86993
829,230.73654
830,150.66588
831,56.196747
832,441.43503
833,152.94766
834,2.2340207
835,151.92653
836,149.61627
837,173.6932
838,242.65858
839,185.95471
840,185.03972
841,277.95795
842,147.59497
843,151.78482
844,260.4386
845,270.53015
846,148.36685
847,255.00545
848,257.21545
849,275.64453
850,172.6774
851,340.4897
852,274.95142
853,325.08008
854,336.87778
855,247.24994
856,359.34958
857,873.5415
858,279.7178
859,247.96725
860,762.47253
861,339.65692
862,182.04584
863,176.35583
864,176.7623
